nama,harga,kategori
Kaos Panjang,654000,Clothing
Celana Cropped,142000,Clothing
Rompi Quilted,961000,Clothing
Gaun Panjang,215000,Clothing
Kemeja Oxford,604000,Clothing
Jaket Anorak,265000,Clothing
Baju Cheongsam,883000,Clothing
Sweater Oversize,151000,Clothing
Rok A-line,588000,Clothing
Baju Kurung,119000,Clothing
Celana Bell-Bottoms,338000,Clothing
Blus Bordir,732000,Clothing
Jaket Trucker,398000,Clothing
Kaos Garis-Garis,166000,Clothing
Gaun Sheath,910000,Clothing
Cardigan Pendek,717000,Clothing
Rok Kulot,208000,Clothing
Celana Lounge,53000,Clothing
Rompi Reflektor,192000,Clothing
Kemeja Silang,701000,Clothing
Sweater Crewneck,820000,Clothing
Baju Safari,781000,Clothing
Jaket Peacoat,124000,Clothing
Kaos Tie-Dye,501000,Clothing
Rok Sarung,234000,Clothing
Blus Tali,291000,Clothing
Celana Peasant,707000,Clothing
Dress Fit and Flare,278000,Clothing
Jaket Snorkel,481000,Clothing
Kaos Stripes,704000,Clothing
Rompi Tuxedo,863000,Clothing
Kemeja Linen,295000,Clothing
Celana Slim Fit,236000,Clothing
Sweater Argyle,142000,Clothing
Rok Balon,752000,Clothing
Baju Leher V,289000,Clothing
Jaket Puff,187000,Clothing
Kaos Vintage,115000,Clothing
Dress Wrap,375000,Clothing
Kemeja Mandarin,809000,Clothing
Rompi Sport,979000,Clothing
Celana Parasut,907000,Clothing
Baju Renang Bikini,588000,Clothing
Sweater Colorblock,252000,Clothing
Rok Span,858000,Clothing
Blus Peplum,909000,Clothing
Jaket Biker,664000,Clothing
Kaos Sleeveless,673000,Clothing
Gaun Shift,698000,Clothing
Celana High-Waist,625000,Clothing
Rompi Safety,388000,Clothing
Kemeja Kombinasi,659000,Clothing
Dress Peasant,511000,Clothing
Jaket Utility,944000,Clothing
Kaos Graphic,955000,Clothing
Sweater Zipper,264000,Clothing
Rok Skater,546000,Clothing
Baju Renang One-Piece,826000,Clothing
Celana Drawstring,314000,Clothing
Blus Kimono,385000,Clothing
Kemeja Tropis,478000,Clothing
Rompi Panjang,541000,Clothing
Gaun Empire,656000,Clothing
Jaket Drifter,520000,Clothing
Kaos Off-Shoulder,905000,Clothing
Celana Bootcut,667000,Clothing
Dress Bardot,198000,Clothing
Jaket Varsity,904000,Clothing
Kaos Maroon,661000,Clothing
Rompi Puffer,642000,Clothing
Kemeja Rayon,132000,Clothing
Celana Slim-Fit,201000,Clothing
Sweater Mockneck,675000,Clothing
Blus Crop,882000,Clothing
Rok Layered,731000,Clothing
Jaket Padded,147000,Clothing
Baju Tankini,918000,Clothing
Kaos Basic,525000,Clothing
Dress Tea-Length,446000,Clothing
Kemeja Santai,901000,Clothing
Rompi Bulat,115000,Clothing
Celana Kulot,853000,Clothing
Blus Smock,317000,Clothing
Jaket Racer,541000,Clothing
Kaos Acid Wash,323000,Clothing
Sweater Chenille,701000,Clothing
Dress Bodycon,501000,Clothing
Celana Boyfriend,707000,Clothing
Blus Crochet,759000,Clothing
Jaket Flight,898000,Clothing
Kaos Heather,922000,Clothing
Rompi Reflective,868000,Clothing
Kemeja Bergaris,383000,Clothing
Celana Track,573000,Clothing
Sweater Cable Knit,738000,Clothing
Dress Smocked,319000,Clothing
Baju Camisole,975000,Clothing
Jaket Sporty,731000,Clothing
Kaos Lengan Panjang,549000,Clothing
Rok Plisket,771000,Clothing
Blus Polka Dot,406000,Clothing
Rompi Quilted,689000,Clothing
Kemeja Chambray,888000,Clothing
Dress Bohemian,608000,Clothing
Celana Flare,593000,Clothing
Jaket Trench,804000,Clothing
Sweater Fleece,342000,Clothing
Blus Peter Pan,488000,Clothing
Rompi Adventure,262000,Clothing
Kaos Scoop Neck,414000,Clothing
Dress Cowl Neck,961000,Clothing
Kemeja Kurta,239000,Clothing
Celana Wide-Leg,115000,Clothing
Jaket Coach,623000,Clothing
Sweater Intarsia,326000,Clothing
Baju Crop Top,627000,Clothing
Blus Sheer,484000,Clothing
Rok Wrap,913000,Clothing
Dress Ruffle,619000,Clothing
Kemeja Tencel,591000,Clothing
Kaos Henley,128000,Clothing
Rompi Track,729000,Clothing
Jaket Carhartt,647000,Clothing
Celana Bermuda,849000,Clothing
Sweater Mock Neck,654000,Clothing
Blus Bell Sleeve,290000,Clothing
Dress Peplum,797000,Clothing
Jaket Lightweight,970000,Clothing
Kaos Striped,727000,Clothing
Rompi Belted,412000,Clothing
Blus Tie-Waist,853000,Clothing
Dress Lace-Up,991000,Clothing
