nama,harga,kategori
Kinder Chocolate,13400,Food
Sari Roti Tawar Jumbo Special,18000,Food
Mr.Bread Roti Tawar Tebal,17500,Food
Asahi Sardines Saus Pedas 155G,9000,Food
Gula Aren 200G,15600,Food
Bawang Merah Goreng ,26500,Food
Saus Tomat ABC,9000,Food
Kecap Ikan botol,27000,Food
Kecap asin,20000,Food
Biscuit Milk Chocolate,7700,Food
Abon Sapi,14500,Food
Bihun Beras 220G,9600,Food
Popcorn Caramel,10700,Food
Flavored UHT Milk Banana 200ml,19900,Food
Mujigae Topokki ,21500,Food
Kewpie Saus Siram Kecap Ala Jepang,29900,Food
Kokita Tauco Super 400 ml,22500,Food
Beras 1 liter,12500,Food
Mayonaise,1400,Food
Blue Band Margarine Cake & Cookie 200G,14900,Food
Tepung Terigu,13200,Food
Tepung maizena,15000,Food
Tepung tapioka,12000,Food
Coklat meises,12900,Food
Kental manis kaleng,12900,Food
Keju slices,12800,Food
Keju mozarella,46900,Food
Nutrijell Konnyaku Jelly Powder Dark Choco,7900,Food
Silky Puding Bubuk Taro,13500,Food
Puding Susus Powder Red Velvet,10900,Food
Soft Pudding Bubblegum,12300,Food
Tiramisu soft cake,13500,Food
Soft Pudding Blackforest,12300,Food
Soft Pudding Thai Tea,13900,Food
Kitkat matcha,9000,Food
Soft Pudding Green Tea,14000,Food
Susu Mangga,10900,Food
Air Kelapa Muda,6500,Food
Avocado coffe,11600,Food
Olive oil,29000,Food
Minyak goreng,35000,Food
Cincau Jelly Kopi Avocado,17000,Food
Bakso sapi,39000,Food
Nugget Sapi,55000,Food
Kornet daging sapi segar,26000,Food
Sosis Bratwurst,47900,Food
Sosis Kanzler Keju Pedas,10000,Food
Snack Taro Pizza,7800,Food
Biskuit Oreo Vanilla,11200,Food
Kurma Premium,22000,Food
Kraft Sandwich Oreo Original,3000,Food
Oat Milk instant quaker,32000,Food
Snack Lumpia Udang,9600,Food
Kacang Panggang,8900,Food
Kacang Atom,6500,Food
Kuaci,5500,Food
Piattos Snack Kentang Rumput Laut,8700,Food
Mr.Potato Sapi Panggang,23000,Food
Piattos Snack Kentang Sambal Matah,8700,Food
Nabati Siip Snack Bite Cokelat,3600,Food
Nabati Siip Snack Bite Jagung Bakar,3600,Food
Kacang Mete Madu,19200,Food
Happytos Snack Tortila Chips Nacho Cheese,13400,Food
Japota Potato Chips Umami Seaweed,12900,Food
Taro Snack Net Potato Barbeque,12900,Food
Gery Kraker Beras Asin,13000,Food
Oishi Snack Ubi,10600,Food
Kusuka Keripik Singkong,7800,Food
Keripik Opak Singkong Original,9700,Food
Wafer Selamat,16000,Food
Snack Telur Gabus Keju,11900,Food
Beras raja lele,48000,Food
Croissant Pandan Srikaya,6000,Food
Telur omega 3,3000,Food
Roma Crackers Malkist Abon,8000,Food
Nissin Crackers Crispy,11200,Food
Biscuit Nyam Nyam Stick Choco Berry,4700,Food
Astor Wafer Stick Cokelat,36500,Food
Bon cabe cnack makaroni level 10,11200,Food
Makaroni nacho cheese,11200,Food
Biscuit Cracker Crispy Potato,5000,Food
Snack Butter Cookies,6700,Food
Snack Potato wagyu beef bbq,7000,Food
Snack Potato Ayam Bawang,11800,Food
Chitato Potato Nori Seaweed,16900,Food
Chitato Potato Sourcream Onion,11800,Food
Chitato Potato Salmon Teriyaki,11800,Food
Wafer Roll Semprong Kelapa Wijen,32500,Food
Wafer Chocolate Rice Crispy,7600,Food
Fiesta Sausage Original,8600,Food
Kanzler Singles Bakso Original,8900,Food
Kanzler Singles Sosis Gochujang,9000,Food
Chicken Nugget,27000,Food
So Good Chicken Spicy Wing,61400,Food
So Good Chicken Stick Premium ,57500,Food
Daging ayam olahan,52500,Food
Paha & Dada ayam frozen,60500,Food
Paha & dada ayam potong pedas manis,42900,Food
Sosis siap makan premium hot,8500,Food
Beef slice 500g,107000,Food
Ayam Dada Fillet 500g,41500,Food
Ikan Dory Fillet 1kg,63000,Food
Seafood Cumi Ring 500g,63000,Food
Ikan Salmon Fillet 500g,176500,Food
Tuna Steak Potong,92000,Food
Ikan bandeng isi jengkol balado,17700,Food
Jamur enoki,22000,Food
Jamur kuping,13000,Food
Nasi shirataki,26000,Food
Kwetiau,7800,Food
Bihun instant soto ayam,3600,Food
Baso Ikan Sayuran,27400,Food
Baso Kepiting,28900,Food
Fish roll,32000,Food
Crab Flavour Nugget,15100,Food
Fish dumpling chicken curry,31900,Food
Lobster ball,31900,Food
Otak otak singapore,30500,Food
Mie laksa,3900,Food
Seafood tofu,30800,Food
Steamboat set,39600,Food
Dimsum udang,65600,Food
Pangsit goreng frozen,65600,Food
Nata De Coco Lychee,10000,Food
Sirup Marjan cocopandan,19000,Food
Syrup Coconut Lemon Tea,19000,Food
Sabun Mandi,15000,Toiletries
Sampo,25000,Toiletries
Conditioner,30000,Toiletries
Pasta Gigi,10000,Toiletries
Sikat Gigi,5000,Toiletries
Sabun Cuci Muka ,20000,Toiletries
Loofah Sponge Scrub Eksfoliasi,12000,Toiletries
Shower Gel,22000,Toiletries
Sabun Antibakteri,18000,Toiletries
Krim Cukur,28000,Toiletries
Pisau Cukur,15000,Toiletries
Mouthwash,35000,Toiletries
Deodoran,25000,Toiletries
Body Lotion,32000,Toiletries
Minyak wangi,56700,Toiletries
Sabun batang,4000,Toiletries
Shower cap,8000,Toiletries
Bath bomb,40000,Toiletries
Scrub tubuh,27000,Toiletries
Sabun cair,21000,Toiletries
Shampoo anti ketombe,28000,Toiletries
Masker rambut,34000,Toiletries
Sabun mandi bayi,18000,Toiletries
Handuk mandi,45000,Toiletries
Cotton buds,7000,Toiletries
Tisu basah,12000,Toiletries
sabun herbal,20000,Toiletries
Sabun susu kambing,25000,Toiletries
Krim wajah,35000,Toiletries
Air freshener,18000,Toiletries
Bedal bayi,10000,Toiletries
Sabun aromaterapi,40000,Toiletries
Shampoo bar,22000,Toiletries
Conditioner bar,24000,Toiletries
Sabun organik,30000,Toiletries
Minyak rambut,15000,Toiletries
Sisir rambut,10000,Toiletries
Pembersih wajah,25000,Toiletries
Sabun muka pria,22000,Toiletries
Krim malam,38000,Toiletries
Krim pagi,36000,Toiletries
Serum wajah,98000,Toiletries
Facial scrub,42000,Toiletries
Hand sanitizer,15000,Toiletries
Sabun Tangan,18000,Toiletries
Sabun cuci tangan,17000,Toiletries
Dettol,25000,Toiletries
Sabun pepaya,16000,Toiletries
Sabun gingseng,18000,Toiletries
Sabun Kopi,20000,Toiletries
Sabun jeruk,19000,Toiletries
Sabum Lemon,18000,Toiletries
Sabun aloe vera,22000,Toiletries
Sabun madu,26000,Toiletries
Sabun arang,28000,Toiletries
Sabun bengkoang,20000,Toiletries
Sabun sereh,23000,Toiletries
Sabun minyak kelapa,22000,Toiletries
Sabun zaitun,21000,Toiletries
Sabun beras,19000,Toiletries
Sabun batang wangi apel,20000,Toiletries
Sabun batang wangi jambu,18000,Toiletries
Sabun susu,27000,Toiletries
Lulur Kocok,30000,Toiletries
Sabun batang wangi anggur,22000,Toiletries
Sabun harum buah fresh segar,20000,Toiletries
Sabun kolagen,32000,Toiletries
Sabun kecantikan,25000,Toiletries
Sabun anti aging,35000,Toiletries
Sabun pemutih,20000,Toiletries
Bubble soap,20000,Toiletries
Parfum,18000,Toiletries
Sabun cendana,23000,Toiletries
Sabun lavender,24000,Toiletries
Sabun mawar,25000,Toiletries
Sabun melati,26000,Toiletries
Sabun herbal alami,30000,Toiletries
Sabun whitening,28000,Toiletries
Sabun wajah,25000,Toiletries
Acne facial wash,26000,Toiletries
Sabun anti bakteri,22000,Toiletries
Sabun mandi cair,21000,Toiletries
Sabun kulit sensitif,28000,Toiletries
Sabun anti bau badan,24000,Toiletries
Sabun anti jamur,23000,Toiletries
Sabun cair organik,30000,Toiletries
Sabun baby,22000,Toiletries
Sabun aloe vera,20000,Toiletries
Sabun kecantikan organik,35000,Toiletries
Sabun propolis,28000,Toiletries
Sabun kojic,32000,Toiletries
Acne patch,19000,Toiletries
Sabum multivitamin,29000,Toiletries
Milk Body wash,46000,Toiletries
Fragrance mist,25000,Toiletries
Sabun Charcoal,28000,Toiletries
Body cream,34500,Toiletries
Organic soap,32000,Toiletries
Aloe vera gel,99000,Toiletries
Handuk wajah,12000,Toiletries
Facial toner,139000,Toiletries
Brightening serum,99000,Toiletries
Exfoliating toner,105000,Toiletries
Hydrating serum,99000,Toiletries
Moisturizer cream,148000,Toiletries
Moisturizer gel,130000,Toiletries
Sunscreen,67000,Toiletries
Sunblock,78000,Toiletries
Eau de toilette,34000,Toiletries
Cologne,78000,Toiletries
Minyak kayu putih,15000,Toiletries
Minyak telon,22000,Toiletries
Eau de parfum,56000,Toiletries
Body spray,26000,Toiletries
Body splash,25000,Toiletries
Body mist,23000,Toiletries
Krim Pelembab,28000,Toiletries
Handuk kecil,35000,Toiletries
Handuk besar,95000,Toiletries
Sikat badan,18000,Toiletries
Krim tabir surya,30000,Toiletries
Pelembab bibir,18000,Toiletries
Masker wajah,25000,Toiletries
Masker mata,20000,Toiletries
Handuk Rambut,22000,Toiletries
Hair Dryer,150000,Toiletries
Catokan rambut,200000,Toiletries
Gunting kuku,10000,Toiletries
Penjepit alis,8000,Toiletries
Sikat wajah,20000,Toiletries
Pembersih telinga,5000,Toiletries
Pembersih kuku,7000,Toiletries
Sisir besar,12000,Toiletries
Sisir kutu,5000,Toiletries
Serit,5000,Toiletries
Sisir saku,10000,Toiletries
Kaca kecil,11000,Toiletries
Pinset,9000,Toiletries
Alat Pencabut Komedo,22000,Toiletries
Pisau alis,10000,Toiletries
Kunciran,5000,Toiletries
Jepitan rambut,5000,Toiletries
Hair spray,25000,Toiletries
Gel rambut,20000,Toiletries
Minyak wangi saku,18000,Toiletries
Sabun eksfoliasi,28000,Toiletries
Scrub bibir,22000,Toiletries
Sabun cair anak,15000,Toiletries
Pasta gigi anak,12000,Toiletries
Sampo anak,18000,Toiletries
Kondisioner anak,20000,Toiletries
Krim bayi,15000,Toiletries
Bedak anak,10000,Toiletries
Sabun mandi foam,22000,Toiletries
pasta gigi herbal,15000,Toiletries
Sabun mandi herbal,28000,Toiletries
Sabun cuci muka herbal,22000,Toiletries
Krim pelembab herbal,45000,Toiletries
Deodoran herbal,25000,Toiletries
Krim pembersih makeup,56000,Toiletries
Cleansing balm,108000,Toiletries
Minyak esensial,35000,Toiletries
Pembersih WC,20000,Toiletries
Sikat WC,15000,Toiletries
Pembersih Kamar Mandi,25000,Toiletries
Sikat lantai,20000,Toiletries
Karbol wangi,18000,Toiletries
Wiper kaca,22000,Toiletries
Pel,25000,Toiletries
Ember,20000,Toiletries
Keset,15000,Toiletries
Gayung,15000,Toiletries
Hanger,18000,Toiletries
Sabun pembersih lanrai,30000,Toiletries
Detergen,25000,Toiletries
Pewangi pakaian,20000,Toiletries
Pemutih pakaian,18000,Toiletries
Pengharum ruangan,25000,Toiletries
Disinfektan,30000,Toiletries
Spray anti bakteri,28000,Toiletries
Kain lap,10000,Toiletries
Sikat pakaian,12000,Toiletries
Pembersih kaca,15000,Toiletries
Pembersih lemak,25000,Toiletries
Pembersih noda,30000,Toiletries
Pemutih pakaian,18000,Toiletries
Anti serangga,25000,Toiletries
Cairan pel lantai,28000,Toiletries
Pembersih kerak,30000,Toiletries
Pembersih toilet,25000,Toiletries
Pewangi toilet,15000,Toiletries
Tempat sabun batang,20000,Toiletries
Plunger,18000,Toiletries
Tempat sikat gigi,25000,Toiletries
Gantungan handuk,30000,Toiletries
Kaca kamar mandi,50000,Toiletries
Tirai kamar mandi,45000,Toiletries
Rak sabun kamar mandi,150000,Toiletries
Tempat sampah kamar mandi,25000,Toiletries
Dental floss,23000,Toiletries
Meja kerja,500000,Others
Kursi kantor,300000,Others
lemari,1000000,Others
Kasur,1500000,Others
Bantal,50000,Others
Selimut,200000,Others
Karpet,250000,Others
Lampu meja,75000,Others
Lampu gantung,200000,Others
Kipas angin,150000,Others
AC,3500000,Others
Televisi,4000000,Others
Remote TV,50000,Others
Set Top Box,250000,Others
Speaker,300000,Others
Handphone,150000,Others
Earphone,100000,Others
Microphone,200000,Others
Webcam,250000,Others
Kamera,5000000,Others
Lensa Kamera,1500000,Others
Tripod,200000,Others
Printer,1000000,Others
Scanner,15000,Others
Proyektor,3000000,Others
Monitor,2000000,Others
Keyboard,150000,Others
Mouse,75000,Others
Mousepad,50000,Others
Harddisk Eksternal,1000000,Others
Flashdisk,100000,Others
Memory card,75000,Others
Router,500000,Others
Modem,300000,Others
Kabel HDMI,50000,Others
Kabel LAN,25000,Others
Colokan listrik,50000,Others
Stop kontak,100000,Others
Saklar,75000,Others
Baterai,30000,Others
Powerbank,250000,Others
Charger,100000,Others
Kabel Charger,50000,Others
Adaptor,75000,Others
Jam tangan,500000,Others
Kacamata,200000,Others
Lensa kontak,150000,Others
Cermin,100000,Others
Meja nakas,150000,Others
Kompor,350000,Others
Panci,90000,Others
Pisau,20000,Others
Garpu,9000,Others
Sendok,10000,Others
Gunting ,23000,Others
Payung,50000,Others
Tas Ransel,250000,Others
Koper,750000,Others
Dompet,100000,Others
Sapu,15000,Others
Setrika,150000,Others
Pengki,20000,Others
Jam dinding,100000,Others
Hiasan dinding,150000,Others
vas bunga,75000,Others
Tanaman hias,100000,Others
Pot bunga,50000,Others
Pupuk tanaman,30000,Others
Gunting taman,100000,Others
Selang air,50000,Others
Pompa air,250000,Others
Wadah Penyimpanan,100000,Others
Tatakan Gelas,25000,Others
Tatakan piring,25000,Others
Serbet,50000,Others
Wajan,200000,Others
Microwave,460000,Others
Spatula,25000,Others
Oven,350000,Others
Talenan,50000,Others
Blender,500000,Others
Mixer,750000,Others
Juicer,1000000,Others
Tabung gas,100000,Others
Rice cooker,300000,Others
Kunci ,20000,Others
Mainan anak,20000,Others
Dispenser air,500000,Others
Pemanggang roti,300000,Others
Kulkas,3000000,Others
Freezer,3500000,Others
Mesin cuci,2500000,Others
Vacuum Cleaner,1500000,Others
Boneka,45000,Others
Barbie,150000,Others
Mobil-mobilan,50000,Others
Gelas,20000,Others
Piring,30000,Others
Mangkok,25000,Others
Cangkir,40000,Others
Majalah,25000,Others
Koran,12000,Others
Pisau makan,15000,Others
Kantong plastik,10000,Others
Paper bag,15000,Others
Stiker,10000,Others
Tali rafia,5000,Others
Benang jahit,10000,Others
Jarum jahit,5000,Others
Pita,10000,Others
Resleting,5000,Others
Kancing baju,5000,Others
Tali sepatu,10000,Others
Sarung bantal,25000,Others
Seprei,50000,Others
Selimut tebal,75000,Others
Karpet bulu,150000,Others
Kursi lipat,100000,Others
Gorden,100000,Others
Pengharum ruangan,30000,Others
Tempat sampah,50000,Others
Saringan air,30000,Others
Parutan,30000,Others
Penghilang bau,25000,Others
Alat pel mobil,50000,Others
Kanebo,30000,Others
Lap mobil,20000,Others
Pengharum ruangan,50000,Others
Handphone,5000000,Others
Casing HP,30000,Others
Gantungan kunci,23000,Others
Gembok,60000,Others
Rak sepatu,100000,Others
Rak buku,200000,Others
Rak dapur,150000,Others
Rak penyimpanan,200000,Others
Lemari arsip,500000,Others
Kaca pembesar,25000,Others
Termos,100000,Others
Botol minum,50000,Others
Tempat minum,75000,Others
Tempat makan,50000,Others
Lunch box,70000,Others
Kotak bekal,50000,Others
Timbangan dapur,75000,Others
Alat angkat beban,60000,Others
Timbangan badan,150000,Others
Meja lipat,100000,Others
Tangga lipat,200000,Others
Meja makan,500000,Others
Kursi makan,200000,Others
Meja tamu,300000,Others
Kursi tamu,250000,Others
Sofa,1000000,Others
Bantal sofa,50000,Others
Selimut sofa,75000,Others
Cover sofa,100000,Others
Lemari pajangan,500000,Others
Lemari TV,300000,Others
Lemari Pakaian,750000,Others
Tempat Tidur,1000000,Others
Kasur Lipat,500000,Others
Bantal guling,50000,Others
Sarung kasur,75000,Others
Kelambu,100000,Others
Tirai anti nyamuk,50000,Others
Lemari sepatu,300000,Others
Penyedot debu,1500000,Others
Pel elektrik,250000,Others
Kompor elektrik,500000,Others
Teko listrik,250000,Others
Pemanas air,500000,Others
Dispenser galon,750000,Others
Blender portable,300000,Others
Mesin kopi,1000000,Others
Juicer Portable,500000,Others
Panci Presto,500000,Others
Wajan anti lengket,200000,Others
Saringan makanan,15000,Others
Alat pengupas,20000,Others
Panci sup,300000,Others
Cetakan kue,50000,Others
Spatula silikon,25000,Others
Gelas takar,20000,Others
Timbangan digital,250000,Others
Penggorengan,200000,Others
Kompor portable,300000,Others
Oven toaster,500000,Others
Alat panggang,200000,Others
Bubble wrap,9000,Others
Plastic wrap,24000,Others
Rice cooker mini,200000,Others
Pengaduk adonan,150000,Others
Mesin cuci piring,3000000,Others
Rak pengering piring,100000,Others
Serok sampah,20000,Others
Penyemprot air,50000,Others
Pemotong rumput,1500000,Others
Selang taman,100000,Others
Gunting setek,50000,Others
Alat pemangkas,200000,Others
Taman pot kecil,30000,Others
alat ukur tanah,100000,Others
Kursi taman,300000,Others
Meja taman,400000,Others
Pagar taman,500000,Others
Lampu taman,150000,Others
Jaring burung,50000,Others
Sarung tangan berkebun,50000,Others
Korek api,5000,Others
Senter,24000,Others
Sandal jepit,10000,Others
Gitar,450000,Others
Piano,2500000,Others
Bass,900000,Others
Camera,3000000,Others
Lampu LED,50000,Others
Saklar lampu,25000,Others
Steker listrik,20000,Others
Kabel ekstensi,50000,Others
Stiker dinding,30000,Others
Kertas kado,10000,Others
Lem perekat,20000,Others
Plester luka,10000,Others
Kapas,15000,Others
Pembalut wanita,25000,Others
Sepatu boots,500000,Others
Tas belanja,30000,Others
Popok bayi,50000,Others
Tisu toilet,25000,Others
Kantong kain,25000,Others
Payung lipat,50000,Others
Botol semprot,20000,Others
Tenda camping,500000,Others
Sleeping bag,200000,Others
Matras camping,100000,Others
Cooler box,200000,Others
Kompor portable camping,200000,Others
Panci camping,100000,Others
Botol minum insulated,150000,Others
Heels,350000,Others
Flatshoes,400000,Others
Sepatu hiking,120000,Others
Stik hiking,100000,Others
Antena,500000,Others
Backpack hiking,300000,Others
Gantungan tenda,50000,Others
Obor,75000,Others
Kipas portable,50000,Others
Hand warmer,75000,Others
Sepatu dalam rumah,50000,Others
Sandal rumah,30000,Others
Alat penumbuk bawang,30000,Others
Ulekan,60000,Others
Alat penghancur es,75000,Others
Timer dapur,50000,Others
Timbangan gantung,100000,Others
Lampu meja belajar,100000,Others
Lemari plastik,200000,Others
Rak sepatu kayu,300000,Others
Tempat sampah stainless,150000,Others
Wadah penyimpanan multi,100000,Others
Hanger baju,100000,Others
Laci serbaguna,200000,Others
Organizer kabel,50000,Others
Pengaman sudut meja,25000,Others
Pengaman pintu,30000,Others
Jaring serangga,40000,Others
Kemoceng,36000,Others
Penyemprot tanaman,25000,Others
Gantungan tanaman,30000,Others
Lampu taman,150000,Others
Pupuk cair,25000,Others
Obat hama,30000,Others
Penjepit jemuran,10000,Others
Jemuran lipay,200000,Others
Kain lap microfiber,20000,Others
Sepeda,2000000,Others
Motor,35000000,Others
Mobil Honda CR-V,500000000,Others
Skuter,500000,Others
Hoverboard,1500000,Others
Drone,3000000,Others
Mobil BMW 1 Series,700000000,Others
Tripod,130000,Others
Hermes Bag,35000000,Others
Ipod,6000000,Others
Ipad,15499000,Others
Tablet Samsung,7999000,Others
Laptop,12980000,Others
Komputer,3400000,Others
CPU,1200000,Others
Pen Tablet,450000,Others
Smartwatch,600000,Others
Smart speaker,450000,Others
Totebag,99000,Others
Mules shoes,299000,Others
Platform shoes,250000,Others
Pouch Makeup,25000,Others
Gelang emas,2300000,Others
