nama,harga,kategori
Kartu Hadiah Merchandise Anime,544000,Entertainment
Model Robot Transformer,644000,Entertainment
Buku Ilustrasi Manga,662000,Entertainment
Poster Konser Orchestra,615000,Entertainment
Kaset Lagu Indie,366000,Entertainment
Film Thriller,123000,Entertainment
Buku Teknik Film Making,361000,Entertainment
Poster Film Action,306000,Entertainment
Model Kapal Perang,565000,Entertainment
Kartu Koleksi Movie Classic,213000,Entertainment
Piala Juara Anime Expo,87000,Entertainment
Poster Film Fantasy,867000,Entertainment
Figurine Karakter Film Kartun,635000,Entertainment
Buku Sejarah Anime,113000,Entertainment
DVD Konser Jazz,500000,Entertainment
Kartu Hadiah Merchandise Anime,490000,Entertainment
Model Robot Transformers,160000,Entertainment
Buku Ilustrasi Manga,521000,Entertainment
Poster Konser Orchestra,768000,Entertainment
Kaset Lagu Indie,517000,Entertainment
Film Thriller,827000,Entertainment
Buku Teknik Film Making,282000,Entertainment
Poster Film Action,122000,Entertainment
Model Kapal Perang,885000,Entertainment
Kartu Koleksi Movie Classic,898000,Entertainment
Piala Juara Anime Expo,367000,Entertainment
Poster Film Fantasy,916000,Entertainment
